do_backup,resource_url,notes
x,https://hackmd.io/0mgHiik2QwOLbOT-2_Uh7w,template
x,https://hackmd.io/lEFrRUPrTAKnbo-GBrhdUw,2019-02-27 all hands
x,https://hackmd.io/bBNqUnT9QhWMMNplm6JJzQ,2019-02-18 rootsystems
x,https://hackmd.io/zKOQ2bYNS1qO0vFdmpInug,2019-02-13 ON coop assoc
x,https://hackmd.io/s/SkFciiKYm,retreat reading pool
x,https://hackmd.io/BqPYmfK1RfCRG7Yi_aEk0A,people
x,https://hackmd.io/s/ry8hC552Q,retreat playbook
x,https://hackmd.io/s/H1qMWxpCX,retreat day 1
x,https://hackmd.io/s/SJDGiYKy4,retreat day 2
,,2019-02-13 all hands
,,2019-01-23 all hands
,,2019-01-09 all hands
